Airport,Hour,AVG
HNL,17,33.546875
HNL,18,34.4
HNL,19,32.55555556
HNL,2,21.796875
HNL,20,23.77272727
HNL,21,25.92134831
HNL,22,19.85714286
HNL,23,17.46666667
HNL,3,20.52777778
HNL,4,18.63636364
HNL,5,17.69565217
HNL,6,9.243421053
HNL,7,12.05741627
HNL,8,18.16589862
HNL,9,24.67579909
IAD,0,9.05907173
IAD,1,10.41176471
IAD,10,4.792332268
IAD,11,8.346289753
IAD,12,10.6875
IAD,13,10.64327485
IAD,14,8.690410959
IAD,15,14.31232877
IAD,16,11.21776504
IAD,17,6.1125
IAD,18,7.674351585
IAD,19,9.15890411
IAD,2,15.26315789
IAD,20,9.665738162
IAD,21,11.17857143
IAD,22,7.623188406
IAD,23,14.47810219
IAD,3,15.625
IAD,4,4.5
IAD,5,9.958083832
IAD,6,3.807471264
IAD,7,6.284644195
IAD,8,12.32294618
IAD,9,9.198067633
IAH,0,10.44444444
IAH,1,11.33333333
IAH,10,19.04524887
IAH,11,16.99547511
IAH,12,9.569444444
IAH,13,14.64253394
IAH,14,22.45701357
IAH,15,18.94570136
IAH,16,22.44343891
IAH,17,20.10859729
IAH,18,18.57013575
IAH,19,17.12669683
IAH,20,13.31707317
IAH,21,11.11229947
IAH,22,14.14418605
IAH,23,15.84931507
IAH,3,32
IAH,4,20.17977528
IAH,5,23.11764706
IAH,6,15.01621622
IAH,7,11.4587156
IAH,8,15.94063927
IAH,9,21.2283105
JFK,0,21.95212766
JFK,1,18.92280702
JFK,10,19.76287658
JFK,11,21.14601019
JFK,12,21.76572218
JFK,13,25.23291925
JFK,14,26.81039575
JFK,15,24.87441038
JFK,16,22.34433962
JFK,17,18.95123496
JFK,18,18.63636364
JFK,19,22.19692658
JFK,2,21.66978193
JFK,20,20.82900943
JFK,21,19.986739
JFK,22,18.83486889
JFK,23,20.08010013
JFK,3,18.1184669
JFK,4,20.33819242
JFK,5,17.14828897
JFK,6,21.59054594
JFK,7,24.42576591
JFK,8,24.7677199
JFK,9,23.19535629
LAS,0,12.83333333
LAS,10,14.6031746
LAS,11,15.80904523
LAS,12,15.97887324
LAS,13,15.8372093
LAS,14,19.84331797
LAS,15,16.90789474
LAS,16,12.71428571
LAS,17,9.322033898
LAS,18,11.05042017
LAS,19,20.32716049
LAS,2,22.5
LAS,20,20.05405405
LAS,21,13.71034483
LAS,22,13.18055556
LAS,23,17.12676056
LAS,4,1
LAS,6,18
LAS,8,1
LAS,9,12.75
LAX,0,20.63576159
LAX,1,20
LAX,10,17.64030612
LAX,11,20.14851485
LAX,12,20.47368421
LAX,13,19.48657188
LAX,14,18.18074074
LAX,15,15.96491228
LAX,16,14.86451613
LAX,17,13.84512684
LAX,18,18.05745342
LAX,19,22.99344978
LAX,20,19.96551724
LAX,21,18.35866983
LAX,22,17.93162393
LAX,23,16.10714286
LAX,5,22.68181818
LAX,6,15.74208145
LAX,7,14.17351598
LAX,8,16.57826888
LAX,9,15.88228155
MCO,0,10
MCO,1,13
MCO,10,21.12698413
MCO,11,16.9346247
MCO,12,16.82465753
MCO,13,21.14712644
MCO,14,21.79338843
MCO,15,19.90593343
MCO,16,19.30730897
MCO,17,16.61165049
MCO,18,17.2038835
MCO,19,18.06140351
MCO,2,20
MCO,20,14.29225352
MCO,21,16.44495413
MCO,22,14.39512195
MCO,23,12.67424242
MCO,3,20
MCO,4,15.66666667
MCO,5,27.35
MCO,6,39.12903226
MCO,7,31.1589404
MCO,8,24.68780488
MCO,9,20.42758621
MDW,0,9.555555556
MDW,1,15.5
MDW,10,9.348148148
MDW,11,19.28389831
MDW,12,8.230769231
MDW,13,2.5
MDW,14,3.592105263
MDW,15,3.992125984
MDW,16,13.71202532
MDW,17,6.349544073
MDW,18,3.741839763
MDW,19,3.465116279
MDW,2,5
MDW,20,3.984293194
MDW,21,14.47297297
MDW,22,10.35294118
MDW,23,11.81818182
MDW,6,6
MDW,7,1.081081081
MDW,8,1.558139535
MDW,9,1.994350282
MIA,0,20.11961722
MIA,1,20.66477273
MIA,10,17.19968304
MIA,11,20.46609125
MIA,12,20.14146341
MIA,13,21.37772087
MIA,14,21.65657895
MIA,15,23.95308311
MIA,16,25.77905492
MIA,17,25.23979592
MIA,18,28.17928287
MIA,19,27.48316252
MIA,2,26.46753247
MIA,20,25.16237942
MIA,21,22.75362319
MIA,22,17.11417323
MIA,23,16.28169014
MIA,3,27.99742268
MIA,4,34
MIA,5,23.27131783
MIA,6,21.41369472
