Airport,Hour,AVG
ATL,0,10.41176471
ATL,1,4.8
ATL,10,12.57585139
ATL,11,5.91689008
ATL,12,9.900677201
ATL,13,10.65954198
ATL,14,14.03473227
ATL,15,12.73132184
ATL,16,8.480712166
ATL,17,9.115107914
ATL,18,8.689458689
ATL,19,7.858369099
ATL,2,2
ATL,20,7.976377953
ATL,21,8.594117647
ATL,22,9.543478261
ATL,23,10.31578947
ATL,3,1
ATL,4,3.428571429
ATL,5,11.85642317
ATL,6,12.86387435
ATL,7,6.96031746
ATL,8,7.153153153
ATL,9,13.09655172
AUS,10,11.61594203
AUS,11,12.91176471
AUS,12,16
AUS,13,10.07692308
AUS,14,17.03333333
AUS,15,17.8
AUS,16,18.98617512
AUS,17,21.06451613
AUS,18,22.78947368
AUS,19,14
AUS,20,23.5
AUS,21,2
AUS,8,11.71428571
AUS,9,12.03030303
BOS,0,22.32
BOS,1,17.33333333
BOS,10,13.86940299
BOS,11,18.09210526
BOS,12,16.31085044
BOS,13,18.20353982
BOS,14,25.1943662
BOS,15,20.53554502
BOS,16,12.85714286
BOS,17,14.93502825
BOS,18,22.84615385
BOS,19,26.73446328
BOS,2,27
BOS,20,27.25947522
BOS,21,16.35294118
BOS,22,13.07936508
BOS,23,14.3442623
BOS,6,28.25490196
BOS,7,25.4751773
BOS,8,11.32411067
BOS,9,19.24637681
BWI,0,17.5
BWI,1,16.33333333
BWI,10,12.75
BWI,11,16.66666667
BWI,12,13.70967742
BWI,13,8.571428571
BWI,14,7.479166667
BWI,15,12.72
BWI,16,5.422535211
BWI,17,6.372413793
BWI,18,6.788405797
BWI,19,7.829875519
BWI,2,21
BWI,20,8.812182741
BWI,21,9.081632653
BWI,22,13.29411765
BWI,23,12.83333333
BWI,3,17.5
BWI,4,21.33333333
BWI,5,11
BWI,6,19.75
BWI,7,16.75
BWI,8,13.5
BWI,9,19
CLT,10,29.57142857
CLT,11,27.28985507
CLT,12,20.63636364
CLT,13,12.00985222
CLT,14,8.650306748
CLT,15,9.773700306
CLT,16,12.64285714
CLT,17,9.074074074
CLT,18,12.75414365
CLT,19,6.772357724
CLT,20,6.27027027
CLT,21,6.75257732
CLT,22,6
CLT,23,7.571428571
CLT,6,26.96688742
CLT,7,24.8908046
CLT,8,21.5625
CLT,9,22
CVG,13,14.96385542
CVG,14,15.49342105
CVG,15,13.57142857
CVG,16,9.033333333
CVG,17,9.85106383
CVG,18,9.588235294
CVG,19,8.272727273
CVG,20,9.9
CVG,21,5.8
CVG,22,10
CVG,23,7
DEN,1,8
DEN,10,11.87719298
DEN,11,13.98101266
DEN,12,16.20136519
DEN,13,12.78195489
DEN,14,9.093023256
DEN,15,17.3362069
DEN,16,13.51070336
DEN,17,7.904024768
DEN,18,13.2
DEN,19,15.50352113
DEN,20,11.22916667
DEN,21,9.413793103
DEN,22,10.5
DEN,23,12
DEN,8,20.44642857
DEN,9,9.11875
DFW,0,8.8
DFW,1,10
DFW,10,15.7967033
DFW,11,7.002832861
DFW,12,10.51810585
DFW,13,13.84109589
DFW,14,14.27348066
DFW,15,15.39835165
DFW,16,14.5521978
DFW,17,11.16438356
DFW,18,9.807692308
DFW,19,7.173553719
DFW,20,5.905594406
DFW,21,7.987538941
DFW,22,7.65625
DFW,23,11.83333333
DFW,5,17.75471698
DFW,6,15.0989011
DFW,7,9.702422145
DFW,8,12.79945055
DFW,9,17.88736264
DTW,0,9.909090909
DTW,1,12
DTW,10,18.25233645
DTW,11,16.78965517
DTW,12,16.99365079
DTW,13,18.76180258
DTW,14,20.32195122
DTW,15,14.0753012
DTW,16,11.37807606
DTW,17,14.10613208
DTW,18,14.75426621
DTW,19,9.244147157
DTW,20,8.493506494
DTW,21,13.96428571
DTW,22,12.85714286
DTW,23,11.14285714
DTW,3,12.5
DTW,6,17.87121212
DTW,7,18.70786517
DTW,8,22.08823529
DTW,9,16.79661017
EWR,0,13.01333333
EWR,1,9.684210526
EWR,10,8.008350731
EWR,11,14.26300985
EWR,12,17.2630854
EWR,13,19.97527473
EWR,14,21.86083214
