Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,121Plus,Excluded,Total,Flights,Booths
PBI,Main,1/10/2013,1600 - 1700,5,9,18,0,0,0,0,0,0,1,19,1,1
PBI,Main,1/10/2013,2100 - 2200,3,7,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/11/2013,0000 - 0100,6,12,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/11/2013,0800 - 0900,1,3,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/11/2013,0900 - 1000,3,6,17,0,0,0,0,0,0,1,18,1,1
PBI,Main,1/11/2013,1000 - 1100,0,0,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/11/2013,1100 - 1200,11,20,19,8,0,0,0,0,0,1,28,1,1
PBI,Main,1/11/2013,1300 - 1400,6,10,13,0,0,0,0,0,0,1,14,1,1
PBI,Main,1/11/2013,1500 - 1600,2,5,11,0,0,0,0,0,0,2,13,1,1
PBI,Main,1/11/2013,1600 - 1700,3,6,17,0,0,0,0,0,0,2,19,1,1
PBI,Main,1/12/2013,0900 - 1000,3,6,12,0,0,0,0,0,0,1,13,1,1
PBI,Main,1/12/2013,1000 - 1100,1,5,9,0,0,0,0,0,0,3,12,2,1
PBI,Main,1/12/2013,1100 - 1200,7,16,37,2,0,0,0,0,0,1,40,2,2
PBI,Main,1/12/2013,1300 - 1400,4,8,11,0,0,0,0,0,0,1,12,1,2
PBI,Main,1/12/2013,1700 - 1800,0,0,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/13/2013,1000 - 1100,4,7,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/13/2013,1100 - 1200,16,26,10,10,0,0,0,0,0,1,21,1,1
PBI,Main,1/13/2013,1200 - 1300,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/13/2013,1300 - 1400,2,4,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/13/2013,1400 - 1500,8,16,14,1,0,0,0,0,0,1,16,1,1
PBI,Main,1/13/2013,1600 - 1700,2,4,13,0,0,0,0,0,0,1,14,1,1
PBI,Main,1/13/2013,1700 - 1800,0,0,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/14/2013,0900 - 1000,3,5,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,1/14/2013,1000 - 1100,1,3,11,0,0,0,0,0,0,1,12,2,1
PBI,Main,1/14/2013,1100 - 1200,11,23,17,5,0,0,0,0,0,3,25,2,1
PBI,Main,1/14/2013,1300 - 1400,0,0,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/15/2013,1200 - 1300,0,0,6,0,0,0,0,0,0,0,6,1,2
PBI,Main,1/15/2013,1300 - 1400,1,3,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/15/2013,1600 - 1700,4,12,39,0,0,0,0,0,0,4,43,3,1
PBI,Main,1/16/2013,1000 - 1100,4,11,25,0,0,0,0,0,0,1,26,2,1
PBI,Main,1/16/2013,1300 - 1400,3,7,11,0,0,0,0,0,0,1,12,1,1
PBI,Main,1/16/2013,1600 - 1700,0,1,18,0,0,0,0,0,0,0,18,1,1
PBI,Main,1/16/2013,2000 - 2100,1,3,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/17/2013,0000 - 0100,1,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/17/2013,0900 - 1000,3,5,9,0,0,0,0,0,0,2,11,1,1
PBI,Main,1/17/2013,1100 - 1200,9,20,23,5,0,0,0,0,0,2,30,1,2
PBI,Main,1/17/2013,1400 - 1500,0,0,11,0,0,0,0,0,0,0,11,1,2
PBI,Main,1/17/2013,1600 - 1700,0,0,22,0,0,0,0,0,0,0,22,1,2
PBI,Main,1/17/2013,2100 - 2200,1,4,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/18/2013,0000 - 0100,4,8,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/18/2013,0800 - 0900,6,10,10,0,0,0,0,0,0,2,12,1,1
PBI,Main,1/18/2013,0900 - 1000,0,1,21,0,0,0,0,0,0,1,22,1,1
PBI,Main,1/18/2013,1000 - 1100,5,13,17,0,0,0,0,0,0,4,21,2,1
PBI,Main,1/18/2013,1100 - 1200,12,25,19,12,0,0,0,0,0,1,32,2,1
PBI,Main,1/18/2013,1300 - 1400,0,0,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/18/2013,1400 - 1500,6,10,20,0,0,0,0,0,0,3,23,2,1
PBI,Main,1/18/2013,1500 - 1600,5,9,14,0,0,0,0,0,0,2,16,1,1
PBI,Main,1/18/2013,1600 - 1700,4,8,19,0,0,0,0,0,0,2,21,1,1
PBI,Main,1/18/2013,2100 - 2200,5,9,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/19/2013,0900 - 1000,2,4,12,0,0,0,0,0,0,1,13,1,1
PBI,Main,1/19/2013,1000 - 1100,1,3,10,0,0,0,0,0,0,4,14,2,1
PBI,Main,1/19/2013,1100 - 1200,5,22,71,2,0,0,0,0,0,4,77,4,2
PBI,Main,1/19/2013,1400 - 1500,0,1,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/20/2013,1000 - 1100,1,2,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,1/20/2013,1100 - 1200,3,8,29,0,0,0,0,0,0,0,29,1,2
PBI,Main,1/20/2013,1300 - 1400,3,4,9,0,0,0,0,0,0,0,9,1,2
PBI,Main,1/20/2013,1600 - 1700,5,12,30,0,0,0,0,0,0,2,32,2,1
PBI,Main,1/21/2013,0900 - 1000,0,0,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,1/21/2013,1000 - 1100,1,2,12,0,0,0,0,0,0,1,13,2,1
PBI,Main,1/21/2013,1100 - 1200,27,46,11,10,21,1,0,0,0,2,45,1,1
PBI,Main,1/21/2013,1300 - 1400,3,7,13,0,0,0,0,0,0,3,16,2,1
PBI,Main,1/21/2013,1400 - 1500,13,25,3,3,0,0,0,0,0,1,7,1,1
PBI,Main,1/21/2013,1600 - 1700,2,5,8,0,0,0,0,0,0,2,10,1,1
PBI,Main,1/21/2013,1700 - 1800,2,4,10,0,0,0,0,0,0,2,12,1,1
PBI,Main,1/21/2013,1900 - 2000,0,0,7,0,0,0,0,0,0,0,7,1,1
PBI,Main,1/21/2013,2100 - 2200,4,6,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/22/2013,1200 - 1300,2,4,12,0,0,0,0,0,0,4,16,2,2
PBI,Main,1/22/2013,1300 - 1400,4,8,14,0,0,0,0,0,0,0,14,1,1
PBI,Main,1/22/2013,1400 - 1500,5,9,14,0,0,0,0,0,0,2,16,1,1
PBI,Main,1/22/2013,1600 - 1700,12,14,8,0,0,0,0,0,0,0,8,1,2
PBI,Main,1/23/2013,0900 - 1000,0,0,14,0,0,0,0,0,0,1,15,1,1
PBI,Main,1/23/2013,1000 - 1100,0,0,7,0,0,0,0,0,0,0,7,1,1
PBI,Main,1/23/2013,1300 - 1400,4,10,22,0,0,0,0,0,0,1,23,2,1
PBI,Main,1/23/2013,1500 - 1600,5,10,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/23/2013,1600 - 1700,8,10,11,0,0,0,0,0,0,0,11,1,1
PBI,Main,1/23/2013,1800 - 1900,4,6,8,0,0,0,0,0,0,0,8,1,1
PBI,Main,1/24/2013,0900 - 1000,5,10,16,0,0,0,0,0,0,1,17,1,1
PBI,Main,1/24/2013,1100 - 1200,18,34,19,13,8,0,0,0,0,1,41,1,1
PBI,Main,1/24/2013,1300 - 1400,0,0,7,0,0,0,0,0,0,0,7,1,1
PBI,Main,1/24/2013,1600 - 1700,5,7,23,0,0,0,0,0,0,2,25,2,2
PBI,Main,1/24/2013,1800 - 1900,2,7,14,0,0,0,0,0,0,3,17,2,1
PBI,Main,1/25/2013,0900 - 1000,1,4,16,0,0,0,0,0,0,1,17,1,1
PBI,Main,1/25/2013,1000 - 1100,4,7,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/25/2013,1100 - 1200,10,14,14,0,0,0,0,0,0,1,15,1,1
PBI,Main,1/25/2013,1200 - 1300,1,2,6,0,0,0,0,0,0,2,8,1,2
PBI,Main,1/25/2013,1300 - 1400,4,8,20,0,0,0,0,0,0,1,21,2,1
PBI,Main,1/25/2013,1500 - 1600,1,2,9,0,0,0,0,0,0,2,11,1,2
PBI,Main,1/25/2013,1600 - 1700,3,6,11,0,0,0,0,0,0,1,12,1,1
PBI,Main,1/26/2013,0900 - 1000,1,3,25,0,0,0,0,0,0,0,25,1,2
PBI,Main,1/26/2013,1000 - 1100,7,13,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,1/26/2013,1100 - 1200,13,19,30,15,0,0,0,0,0,2,47,1,2
PBI,Main,1/26/2013,1200 - 1300,1,2,7,0,0,0,0,0,0,2,9,1,2
PBI,Main,1/26/2013,1400 - 1500,3,5,15,0,0,0,0,0,0,1,16,1,2
PBI,Main,1/26/2013,2000 - 2100,1,2,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/27/2013,1000 - 1100,1,2,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/27/2013,1100 - 1200,9,23,26,8,0,0,0,0,0,2,36,2,2
PBI,Main,1/27/2013,1300 - 1400,1,2,12,0,0,0,0,0,0,1,13,2,2
PBI,Main,1/27/2013,1600 - 1700,0,0,19,0,0,0,0,0,0,1,20,1,1
PBI,Main,1/27/2013,1700 - 1800,1,2,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/28/2013,1000 - 1100,3,7,11,0,0,0,0,0,0,4,15,2,2
