Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths,
MCO,Airside 1,12/6/2013,1900 - 2000,11,29,109,33,0,0,0,0,0,5,147,2,9,
MCO,Airside 1,12/6/2013,2000 - 2100,16,36,64,49,10,0,0,0,0,3,126,1,6,
MCO,Airside 1,12/6/2013,2100 - 2200,17,32,42,52,3,0,0,0,0,2,99,1,6,
MCO,Airside 4,12/6/2013,1500 - 1600,11,27,150,78,0,0,0,0,0,11,239,1,9,
MCO,Airside 4,12/6/2013,1600 - 1700,21,42,172,166,112,0,0,0,0,12,462,2,17,
MCO,Airside 4,12/6/2013,1700 - 1800,16,38,151,113,32,0,0,0,0,10,306,1,17,
MCO,Airside 1,12/7/2013,0800 - 0900,31,54,53,38,71,51,0,0,0,5,218,1,8,
MCO,Airside 1,12/7/2013,1000 - 1100,29,51,65,83,95,40,0,0,0,8,291,2,11,
MCO,Airside 1,12/7/2013,1100 - 1200,11,21,77,36,0,0,0,0,0,3,116,1,12,
MCO,Airside 1,12/7/2013,1200 - 1300,16,34,159,99,23,0,0,0,0,7,288,2,16,
MCO,Airside 1,12/7/2013,1300 - 1400,5,15,224,0,0,0,0,0,0,10,234,2,18,
MCO,Airside 1,12/7/2013,1400 - 1500,7,16,128,2,0,0,0,0,0,4,134,1,20,
MCO,Airside 1,12/7/2013,1500 - 1600,29,61,133,105,137,89,3,0,0,14,481,4,11,
MCO,Airside 1,12/7/2013,1600 - 1700,6,15,16,0,0,0,0,0,0,1,17,1,7,
MCO,Airside 1,12/7/2013,1700 - 1800,14,30,147,116,0,0,0,0,0,6,269,2,11,
MCO,Airside 1,12/7/2013,1800 - 1900,5,12,71,0,0,0,0,0,0,2,73,1,10,
MCO,Airside 1,12/7/2013,1900 - 2000,20,40,95,135,39,0,0,0,0,9,278,3,10,
MCO,Airside 1,12/7/2013,2000 - 2100,6,18,197,11,0,0,0,0,0,6,214,2,10,
MCO,Airside 1,12/7/2013,2100 - 2200,15,30,75,69,0,0,0,0,0,3,147,1,8,
MCO,Airside 1,12/7/2013,2200 - 2300,9,21,97,28,0,0,0,0,0,4,129,1,8,
MCO,Airside 4,12/7/2013,1600 - 1700,19,47,248,151,136,1,0,0,0,17,553,2,17,
MCO,Airside 4,12/7/2013,1700 - 1800,26,83,321,207,84,48,97,0,0,18,775,3,17,
MCO,Airside 4,12/7/2013,1800 - 1900,57,90,46,35,9,113,229,0,0,12,444,1,14,
MCO,Airside 1,12/8/2013,0700 - 0800,23,50,74,62,57,21,0,0,0,8,222,1,6,
MCO,Airside 1,12/8/2013,1000 - 1100,6,16,160,5,0,0,0,0,0,3,168,1,8,
MCO,Airside 1,12/8/2013,1100 - 1200,16,41,193,149,44,0,0,0,0,11,397,3,12,
MCO,Airside 1,12/8/2013,1200 - 1300,9,29,220,47,0,0,0,0,0,9,276,3,18,
MCO,Airside 1,12/8/2013,1300 - 1400,8,17,184,4,0,0,0,0,0,6,194,2,19,
MCO,Airside 1,12/8/2013,1500 - 1600,23,51,154,68,128,14,0,0,0,12,376,3,13,
MCO,Airside 1,12/8/2013,1700 - 1800,19,35,86,89,37,0,0,0,0,4,216,1,10,
MCO,Airside 1,12/8/2013,1900 - 2000,11,21,64,26,0,0,0,0,0,5,95,1,7,
MCO,Airside 1,12/8/2013,2000 - 2100,7,21,173,21,0,0,0,0,0,5,199,2,8,
MCO,Airside 1,12/8/2013,2100 - 2200,6,13,76,0,0,0,0,0,0,2,78,1,7,
MCO,Airside 1,12/8/2013,2200 - 2300,16,32,53,64,5,0,0,0,0,4,126,1,7,
MCO,Airside 4,12/8/2013,1500 - 1600,37,76,124,81,107,140,89,0,0,17,558,2,15,
MCO,Airside 4,12/8/2013,1600 - 1700,13,29,136,105,0,0,0,0,0,8,249,2,16,
MCO,Airside 4,12/8/2013,1700 - 1800,17,40,155,84,60,0,0,0,0,8,307,1,18,
MCO,Airside 1,12/9/2013,0700 - 0800,29,55,57,49,59,46,0,0,0,6,217,1,5,
MCO,Airside 1,12/9/2013,1100 - 1200,12,35,272,117,11,0,0,0,0,10,410,3,13,
MCO,Airside 1,12/9/2013,1200 - 1300,13,28,157,95,0,0,0,0,0,7,259,2,13,
MCO,Airside 1,12/9/2013,1300 - 1400,8,19,127,15,0,0,0,0,0,5,147,1,16,
MCO,Airside 1,12/9/2013,1400 - 1500,4,11,88,0,0,0,0,0,0,0,88,1,15,
MCO,Airside 1,12/9/2013,1500 - 1600,33,70,148,95,49,140,54,0,0,12,498,4,16,
MCO,Airside 1,12/9/2013,1700 - 1800,22,42,74,74,68,0,0,0,0,6,222,1,9,
MCO,Airside 1,12/9/2013,1900 - 2000,11,29,130,52,0,0,0,0,0,6,188,2,8,
MCO,Airside 1,12/9/2013,2000 - 2100,6,16,47,4,0,0,0,0,0,0,51,1,3,
MCO,Airside 1,12/9/2013,2100 - 2200,9,18,38,9,0,0,0,0,0,0,47,1,4,
MCO,Airside 4,12/9/2013,1600 - 1700,19,43,254,195,165,0,0,0,0,18,632,3,17,
MCO,Airside 4,12/9/2013,1700 - 1800,8,15,133,0,0,0,0,0,0,4,137,1,17,
MCO,Airside 4,12/9/2013,1800 - 1900,17,38,152,96,44,0,0,0,0,7,299,1,17,
MCO,Airside 1,12/10/2013,0700 - 0800,30,60,64,49,41,61,0,0,0,7,222,1,6,
MCO,Airside 1,12/10/2013,1000 - 1100,13,27,57,40,0,0,0,0,0,3,100,1,9,
MCO,Airside 1,12/10/2013,1100 - 1200,12,27,145,80,0,0,0,0,0,6,231,2,9,
MCO,Airside 1,12/10/2013,1200 - 1300,20,43,87,90,48,0,0,0,0,7,232,2,9,
