Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths,
ATL,Concourse F,12/22/2013,1600 - 1700,22,64,366,140,110,112,22,0,0,22,772,5,23,
ATL,Concourse F,12/22/2013,1700 - 1800,7,16,422,8,0,0,0,0,0,10,440,3,21,
ATL,Concourse F,12/22/2013,1800 - 1900,2,8,232,0,0,0,0,0,0,8,240,1,28,
ATL,Concourse F,12/22/2013,1900 - 2000,9,33,682,139,7,0,0,0,0,26,854,5,30,
ATL,Concourse F,12/22/2013,2000 - 2100,8,18,386,20,0,0,0,0,0,12,418,2,27,
ATL,Concourse F,12/22/2013,2100 - 2200,33,52,33,60,80,54,0,0,0,12,239,1,9,
ATL,Concourse F,12/22/2013,2200 - 2300,5,12,132,0,0,0,0,0,0,8,140,1,9,
ATL,Concourse E,12/23/2013,1300 - 1400,11,45,414,221,6,0,0,0,0,16,657,3,30,
ATL,Concourse E,12/23/2013,1400 - 1500,9,41,973,259,50,0,0,0,0,40,1322,7,35,
ATL,Concourse E,12/23/2013,1500 - 1600,11,33,436,198,18,0,0,0,0,13,665,4,32,
ATL,Concourse E,12/23/2013,1600 - 1700,6,27,552,58,0,0,0,0,0,20,630,5,24,
ATL,Concourse E,12/23/2013,1700 - 1800,3,20,444,26,0,0,0,0,0,13,483,4,28,
ATL,Concourse E,12/23/2013,1800 - 1900,8,46,812,145,59,1,0,0,0,34,1051,9,26,
ATL,Concourse E,12/23/2013,1900 - 2000,6,31,513,16,2,0,0,0,0,17,548,4,19,
ATL,Concourse E,12/23/2013,2000 - 2100,3,14,295,0,0,0,0,0,0,7,302,3,26,
ATL,Concourse F,12/23/2013,0500 - 0600,16,56,706,268,207,70,0,0,0,38,1289,7,26,
ATL,Concourse F,12/23/2013,0600 - 0700,11,25,535,211,0,0,0,0,0,19,765,3,25,
ATL,Concourse F,12/23/2013,0800 - 0900,5,16,184,8,0,0,0,0,0,2,194,1,21,
ATL,Concourse F,12/23/2013,0900 - 1000,25,45,57,165,85,0,0,0,0,10,317,1,18,
ATL,Concourse F,12/23/2013,1000 - 1100,5,15,148,0,0,0,0,0,0,6,154,2,13,
ATL,Concourse F,12/23/2013,1100 - 1200,6,18,142,7,0,0,0,0,0,5,154,1,20,
ATL,Concourse F,12/23/2013,1200 - 1300,11,34,336,141,14,0,0,0,0,12,503,5,23,
ATL,Concourse F,12/23/2013,1300 - 1400,7,23,191,18,0,0,0,0,0,8,217,2,18,
ATL,Concourse F,12/23/2013,1400 - 1500,8,27,229,52,0,0,0,0,0,8,289,1,17,
ATL,Concourse F,12/23/2013,1500 - 1600,23,68,241,178,125,60,19,0,0,20,643,3,21,
ATL,Concourse F,12/23/2013,1600 - 1700,33,70,33,98,48,53,18,0,0,8,258,2,16,
ATL,Concourse F,12/23/2013,1700 - 1800,23,47,124,189,125,7,0,0,0,12,457,3,22,
ATL,Concourse F,12/23/2013,1800 - 1900,13,64,470,147,53,12,2,0,0,22,706,4,20,
ATL,Concourse F,12/23/2013,1900 - 2000,20,42,172,181,83,0,0,0,0,15,451,2,22,
ATL,Concourse F,12/23/2013,2000 - 2100,10,30,170,53,0,0,0,0,0,12,235,1,25,
ATL,Concourse F,12/23/2013,2100 - 2200,11,37,253,47,25,0,0,0,0,13,338,2,20,
ATL,Concourse E,12/24/2013,1300 - 1400,12,47,696,198,114,3,0,0,0,35,1046,5,34,
ATL,Concourse E,12/24/2013,1400 - 1500,30,87,245,179,126,164,88,0,0,23,825,4,34,
ATL,Concourse E,12/24/2013,1500 - 1600,21,53,283,136,223,21,0,0,0,21,684,5,30,
ATL,Concourse E,12/24/2013,1600 - 1700,2,9,246,0,0,0,0,0,0,7,253,3,20,
ATL,Concourse E,12/24/2013,1700 - 1800,5,27,420,47,0,0,0,0,0,11,478,6,28,
ATL,Concourse E,12/24/2013,1800 - 1900,2,14,540,0,0,0,0,0,0,17,557,8,22,
ATL,Concourse E,12/24/2013,1900 - 2000,2,12,216,0,0,0,0,0,0,10,226,4,22,
ATL,Concourse E,12/24/2013,2000 - 2100,0,0,28,0,0,0,0,0,0,1,29,1,13,
ATL,Concourse F,12/24/2013,0500 - 0600,14,48,758,291,198,10,0,0,0,39,1296,8,27,
ATL,Concourse F,12/24/2013,0600 - 0700,14,41,436,238,63,0,0,0,0,21,758,3,25,
ATL,Concourse F,12/24/2013,0900 - 1000,23,36,40,149,44,0,0,0,0,7,240,1,19,
ATL,Concourse F,12/24/2013,1000 - 1100,9,28,411,73,0,0,0,0,0,9,493,4,20,
ATL,Concourse F,12/24/2013,1100 - 1200,1,8,142,0,0,0,0,0,0,3,145,2,17,
ATL,Concourse F,12/24/2013,1200 - 1300,7,27,234,52,0,0,0,0,0,11,297,3,25,
ATL,Concourse F,12/24/2013,1300 - 1400,7,17,88,4,0,0,0,0,0,3,95,1,17,
ATL,Concourse F,12/24/2013,1400 - 1500,9,23,225,62,0,0,0,0,0,8,295,2,18,
ATL,Concourse F,12/24/2013,1500 - 1600,8,30,306,57,0,0,0,0,0,15,378,4,17,
ATL,Concourse F,12/24/2013,1600 - 1700,9,24,172,59,0,0,0,0,0,4,235,2,19,
ATL,Concourse F,12/24/2013,1700 - 1800,3,14,306,0,0,0,0,0,0,7,313,2,17,
ATL,Concourse F,12/24/2013,1800 - 1900,10,32,556,123,5,0,0,0,0,22,706,4,23,
ATL,Concourse F,12/24/2013,2000 - 2100,14,37,243,159,19,0,0,0,0,9,430,2,22,
ATL,Concourse E,12/25/2013,1300 - 1400,24,78,397,197,180,113,55,0,0,28,970,4,34,
