Airport,Hour,AVG
ATL,0,4.5
ATL,1,17.5
ATL,10,7.84984985
ATL,11,7.774373259
ATL,12,9.138190955
ATL,13,10.37537538
ATL,14,13.94413408
ATL,15,13.0538674
ATL,16,11.4025788
ATL,17,10.18679775
ATL,18,7.867977528
ATL,19,6.391053391
ATL,2,17
ATL,20,6.924713584
ATL,21,13.32258065
ATL,22,14.29787234
ATL,23,14.45
ATL,4,28
ATL,5,11.73770492
ATL,6,13.75482094
ATL,7,5.509708738
ATL,8,6.666666667
ATL,9,17.31060606
AUS,10,19.42857143
AUS,11,11.2
AUS,12,12.75
AUS,13,17
AUS,14,16.36585366
AUS,15,12.27619048
AUS,16,13.125
AUS,17,9.533333333
AUS,18,14
AUS,19,19
AUS,21,19
AUS,8,14.5
AUS,9,14.56521739
BOS,0,16.16666667
BOS,1,15.83333333
BOS,10,17.9430605
BOS,11,21.65198238
BOS,12,18.9502924
BOS,13,20.96629213
BOS,14,23.83544304
BOS,15,19.47413793
BOS,16,12.4238806
BOS,17,17.26011561
BOS,18,25.53462604
BOS,19,17.97865854
BOS,2,11
BOS,20,17.28615385
BOS,21,17.57957958
BOS,22,16.64088398
BOS,23,16.03703704
BOS,3,11
BOS,4,11
BOS,6,26.91666667
BOS,7,29.03896104
BOS,8,21.65107914
BOS,9,24.46923077
BWI,0,20.5
BWI,1,20.2
BWI,10,21
BWI,11,14.71428571
BWI,12,16.42857143
BWI,13,10.72
BWI,14,12.34482759
BWI,15,9.25
BWI,16,5.42920354
BWI,17,7.834437086
BWI,18,7.969879518
BWI,19,7.718562874
BWI,2,17.2
BWI,20,13.78205128
BWI,21,10.27027027
BWI,22,19.77272727
BWI,23,17.6
BWI,3,22
BWI,4,26.5
BWI,5,17.5
BWI,6,25.57142857
BWI,7,16.8
BWI,8,18.5
BWI,9,21
CLT,0,3.5
CLT,1,2
CLT,11,27
CLT,12,21.43303571
CLT,13,12.25409836
CLT,14,10.10857143
CLT,15,13.43390805
CLT,16,12.71866295
CLT,17,8.051446945
CLT,18,13.53719008
CLT,19,6.529680365
CLT,20,6.26369863
CLT,21,7.738095238
CLT,22,7.578947368
CLT,23,11
CLT,6,36.05333333
CLT,7,29.77777778
CLT,8,28.58823529
CLT,9,28.66666667
CVG,11,6
CVG,12,11
CVG,13,15.82666667
CVG,14,16.42386831
CVG,15,13.8
CVG,16,12.79310345
CVG,17,12.8
CVG,18,11.65384615
CVG,19,13.65384615
CVG,20,11.875
CVG,21,13.33333333
DEN,10,11.30909091
DEN,11,12.92561983
DEN,12,15.48663102
DEN,13,15.08974359
DEN,14,10.61176471
DEN,15,16.07647059
DEN,16,14.73972603
DEN,17,9.193452381
DEN,18,12.30169492
DEN,19,16.30208333
DEN,20,12.38383838
DEN,21,10.1
DEN,22,11.4
DEN,23,12
DEN,8,16.76470588
DEN,9,11.07563025
DFW,0,5.666666667
DFW,10,34.2967033
DFW,11,15.51183432
DFW,12,16.40833333
DFW,13,22.1160221
DFW,14,25.53168044
DFW,15,23.25824176
DFW,16,26.55342466
DFW,17,22.73626374
DFW,18,21.2032967
DFW,19,15.30662983
DFW,20,11.81924198
DFW,21,10.43209877
DFW,22,12.25
DFW,23,12.77777778
DFW,5,18.55555556
DFW,6,20.63434903
DFW,7,13.75113122
DFW,8,20.2967033
DFW,9,32.82739726
DTW,0,19.84615385
DTW,1,22.25
DTW,10,16.91950464
DTW,11,16.73333333
DTW,12,13.4054878
DTW,13,14.51092896
DTW,14,15.53773585
DTW,15,13.2734375
DTW,16,14.42802303
DTW,17,16.78500986
DTW,18,16.02
DTW,19,12.52941176
DTW,2,7
DTW,20,15.92622951
DTW,21,17.48275862
DTW,22,15.64285714
DTW,23,17.38461538
DTW,6,20.82014388
DTW,7,19.34313725
DTW,8,20.63120567
DTW,9,22.75471698
EWR,0,10.74242424
EWR,1,8.621621622
EWR,10,7.917117117
EWR,11,15.23011364
EWR,12,17.6424581
EWR,13,22.32462173
EWR,14,24.27155172
EWR,15,21.54678363
EWR,16,19.76595745
EWR,17,14.15870787
EWR,18,13.79066478
EWR,19,18.50113895
EWR,2,5.5
EWR,20,19.55961071
EWR,21,16.8655914
EWR,22,11.10447761
EWR,23,14.14569536
EWR,3,38.96
EWR,4,24.1598916
EWR,5,27.24708171
EWR,6,22.36464088
EWR,7,18.81407035
EWR,8,18.95625
EWR,9,9.377850163
FAT,0,24
FAT,1,23.38461538
FAT,16,1
FAT,17,19
FAT,2,30.28571429
FAT,20,19.33333333
FAT,21,19.53763441
FAT,22,27.59782609
FAT,23,27.75193798
FLL,0,5.384615385
FLL,1,4.714285714
FLL,10,9.333333333
FLL,11,23.09545455
FLL,12,18.04060914
FLL,13,11.92696629
FLL,14,13.37556561
FLL,15,12.57077626
FLL,16,13.8280543
FLL,17,11.20454545
FLL,18,20.48181818
FLL,19,24.96261682
FLL,2,3.583333333
FLL,20,14.53888889
FLL,21,13.36263736
FLL,22,12.70652174
FLL,23,7
FLL,3,9.75
FLL,4,5
FLL,5,23.41269841
FLL,6,22.26851852
FLL,7,16.6122449
FLL,8,14.60233918
FLL,9,14.24705882
HNL,0,14
HNL,1,18.66666667
HNL,10,17.33181818
HNL,11,10.55092593
HNL,12,8.023809524
HNL,13,8.116666667
HNL,14,14.65
HNL,15,13.48148148
HNL,16,17.66666667
HNL,19,16.875
HNL,2,18.78571429
HNL,20,21.20588235
HNL,21,23.42
HNL,22,14.33333333
HNL,23,12.125
HNL,3,19.57894737
HNL,4,12.8
HNL,5,18.07894737
HNL,6,9.836601307
HNL,7,9.659090909
HNL,8,9.687782805
HNL,9,14.64705882
IAD,0,13.87919463
IAD,1,14.63043478
IAD,10,10.20070423
IAD,11,9.498281787
IAD,12,12.49775785
IAD,13,13.70532915
IAD,14,10.79945055
IAD,15,19.47802198
IAD,16,19.44314869
IAD,17,16.03225806
IAD,18,18.65168539
IAD,19,19.6978022
IAD,2,15.48275862
IAD,20,18.68945869
IAD,21,19.03875969
IAD,22,12.29347826
IAD,23,15.88983051
IAD,3,16.91666667
IAD,4,9.333333333
IAD,5,11.33333333
IAD,6,8.861111111
IAD,7,12.50896057
IAD,8,14.78947368
IAD,9,13.05990783
IAH,0,21
IAH,1,25
IAH,10,23.56108597
IAH,11,27.04977376
IAH,12,17.76923077
IAH,13,22.31674208
IAH,14,28.31818182
IAH,15,21.68778281
IAH,16,25.08144796
IAH,17,24.47511312
IAH,18,22.62727273
IAH,19,19.75113122
IAH,20,16.039801
IAH,21,12.31007752
IAH,22,11.04026846
IAH,23,15.41071429
IAH,4,18.39869281
IAH,5,26.40723982
IAH,6,20.48275862
IAH,7,10.63157895
IAH,8,20.26027397
IAH,9,26.74090909
JFK,0,25.11666667
JFK,1,17.26056338
JFK,10,19.33221477
JFK,11,21.30451866
JFK,12,23.23444976
JFK,13,29.61724138
JFK,14,29.27054795
JFK,15,27.28032899
JFK,16,25.87491409
JFK,17,23.41018388
JFK,18,21.55892986
JFK,19,24.4168436
JFK,2,19.43965517
JFK,20,23.36808052
JFK,21,22.13354531
JFK,22,22.13886537
JFK,23,22.61414791
JFK,3,22.81372549
JFK,4,23.39677419
JFK,5,32.32564103
