Airport,Terminal,Date,Hour,Average,Max,p015,p1630,pp3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SEA,South Satellite,7/5/2015,0700 - 0800,3,10,34,0,0,0,0,0,0,3,37,1,5
SEA,South Satellite,7/5/2015,0800 - 0900,4,9,49,0,0,0,0,0,0,4,53,1,5
SEA,South Satellite,7/5/2015,0900 - 1000,19,52,316,165,168,34,0,0,0,16,699,3,16
SEA,South Satellite,7/5/2015,1000 - 1100,14,44,291,145,52,0,0,0,0,20,508,2,14
SEA,South Satellite,7/5/2015,1100 - 1200,36,85,316,231,156,191,230,0,0,46,1170,5,22
SEA,South Satellite,7/5/2015,1200 - 1300,26,69,206,102,146,38,44,0,0,18,554,2,21
SEA,South Satellite,7/5/2015,1300 - 1400,33,60,64,26,48,89,0,0,0,8,235,1,21
SEA,South Satellite,7/5/2015,1400 - 1500,6,21,700,41,0,0,0,0,0,35,776,4,21
SEA,South Satellite,7/5/2015,1500 - 1600,7,17,209,7,0,0,0,0,0,12,228,1,14
SEA,South Satellite,7/5/2015,1600 - 1700,6,26,330,39,0,0,0,0,0,15,384,3,7
SEA,South Satellite,7/5/2015,1700 - 1800,8,33,312,48,10,0,0,0,0,14,384,2,8
SEA,South Satellite,7/5/2015,1900 - 2000,17,44,150,63,74,0,0,0,0,5,292,1,8
SEA,South Satellite,7/6/2015,0600 - 0700,3,7,53,0,0,0,0,0,0,1,54,1,2
SEA,South Satellite,7/6/2015,0700 - 0800,4,11,70,0,0,0,0,0,0,3,73,1,3
SEA,South Satellite,7/6/2015,0800 - 0900,10,45,220,29,25,0,0,0,0,11,285,2,8
SEA,South Satellite,7/6/2015,0900 - 1000,37,87,258,59,40,78,219,0,0,32,686,3,16
SEA,South Satellite,7/6/2015,1000 - 1100,29,85,129,38,4,7,61,0,0,6,245,1,18
SEA,South Satellite,7/6/2015,1100 - 1200,24,65,412,151,82,186,25,0,0,37,893,3,18
SEA,South Satellite,7/6/2015,1200 - 1300,31,77,261,141,110,121,115,0,0,35,783,3,19
SEA,South Satellite,7/6/2015,1300 - 1400,41,78,153,14,1,64,170,0,0,20,422,2,19
SEA,South Satellite,7/6/2015,1400 - 1500,8,24,307,40,0,0,0,0,0,17,364,2,13
