airline,airlineid,sourceairport,source_airportid,dest_airport,dest_airport_id,code_share,stops,acquipment,airportid,Source_name,city,Source_country,Source_iata,icao,source_lat,source_long,alt,timezone,dst,tz_database_zone,airportid,Dest_Name,city,Dest_country,Dest_iata,icao,dest_lat,dest_long,alt,timezone,dst,tz_database_zone
3M,\N,FPO,1948,FLL,3533,,0,SF3,1948,Grand Bahama Intl,Freeport,Bahamas,FPO,MYGF,26.558686,-78.695553,7,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,GGT,1941,FLL,3533,,0,SF3,1941,Exuma Intl,Great Exuma,Bahamas,GGT,MYEF,23.562631,-75.877958,9,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,GHB,1944,FLL,3533,,0,SF3,1944,Governors Harbour,Governor's Harbor,Bahamas,GHB,MYEM,25.284706,-76.331011,26,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,GNV,3472,MCO,3878,,0,SF3,3472,Gainesville Rgnl,Gainesville,United States,GNV,KGNV,29.690056,-82.271778,152,-5,A,America/New_York,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,GNV,3472,TPA,3646,,0,SF3,3472,Gainesville Rgnl,Gainesville,United States,GNV,KGNV,29.690056,-82.271778,152,-5,A,America/New_York,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
3M,\N,JAX,3712,TPA,3646,,0,SF3,3712,Jacksonville Intl,Jacksonville,United States,JAX,KJAX,30.494056,-81.687861,30,-5,A,America/New_York,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
3M,\N,LWB,6958,ATL,3682,,0,SF3,6958,Greenbrier Valley Airport,Lewisburg,United States,LWB,KLWB,37.858333,-80.399444,2302,-5,U,America/New_York,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
3M,\N,MCN,3754,ATL,3682,,0,SF3,3754,Middle Georgia Rgnl,Macon,United States,MCN,KMCN,32.69285,-83.649211,354,-5,A,America/New_York,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
3M,\N,MCN,3754,MCO,3878,,0,SF3,3754,Middle Georgia Rgnl,Macon,United States,MCN,KMCN,32.69285,-83.649211,354,-5,A,America/New_York,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,MCO,3878,FLL,3533,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,MCO,3878,GNV,3472,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,3472,Gainesville Rgnl,Gainesville,United States,GNV,KGNV,29.690056,-82.271778,152,-5,A,America/New_York
3M,\N,MCO,3878,MCN,3754,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,3754,Middle Georgia Rgnl,Macon,United States,MCN,KMCN,32.69285,-83.649211,354,-5,A,America/New_York
3M,\N,MCO,3878,MHH,1930,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,1930,Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau
3M,\N,MCO,3878,PNS,3564,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,3564,Pensacola Rgnl,Pensacola,United States,PNS,KPNS,30.473425,-87.186611,121,-6,A,America/Chicago
3M,\N,MCO,3878,RSW,3793,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,3793,Southwest Florida Intl,Fort Myers,United States,RSW,KRSW,26.536167,-81.755167,30,-5,A,America/New_York
3M,\N,MCO,3878,TLH,3698,,0,SF3,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York,3698,Tallahassee Rgnl,Tallahassee,United States,TLH,KTLH,30.396528,-84.350333,81,-5,A,America/New_York
3M,\N,MEI,4335,ATL,3682,,0,SF3,4335,Key Field,Meridian,United States,MEI,KMEI,32.332624,-88.751868,297,-6,A,America/Chicago,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
3M,\N,MHH,1930,FLL,3533,,0,SF3,1930,Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,MHH,1930,MCO,3878,,0,SF3,1930,Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,MHH,1930,PBI,3722,,0,SF3,1930,Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau,3722,Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York
3M,\N,MSL,5756,ATL,3682,,0,SF3,5756,Northwest Alabama Regional Airport,Muscle Shoals,United States,MSL,KMSL,34.7453,-87.6102,550,-6,A,America/Chicago,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
3M,\N,PBI,3722,ELH,1943,,0,SF3,3722,Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York,1943,North Eleuthera,North Eleuthera,Bahamas,ELH,MYEH,25.474861,-76.683489,13,-5,U,America/Nassau
3M,\N,PBI,3722,MHH,1930,,0,SF3,3722,Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York,1930,Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau
3M,\N,PBI,3722,TPA,3646,,0,SF3,3722,Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
3M,\N,PIB,5759,ATL,3682,,0,SF3,5759,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,PIB,KPIB,31.4671,-89.3371,298,-6,A,America/Chicago,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
3M,\N,PNS,3564,MCO,3878,,0,SF3,3564,Pensacola Rgnl,Pensacola,United States,PNS,KPNS,30.473425,-87.186611,121,-6,A,America/Chicago,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,PNS,3564,TPA,3646,,0,SF3,3564,Pensacola Rgnl,Pensacola,United States,PNS,KPNS,30.473425,-87.186611,121,-6,A,America/Chicago,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
3M,\N,RSW,3793,MCO,3878,,0,SF3,3793,Southwest Florida Intl,Fort Myers,United States,RSW,KRSW,26.536167,-81.755167,30,-5,A,America/New_York,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,TCB,1934,FLL,3533,,0,SF3,1934,Treasure Cay,Treasure Cay,Bahamas,TCB,MYAT,26.745336,-77.391269,8,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,TLH,3698,MCO,3878,,0,SF3,3698,Tallahassee Rgnl,Tallahassee,United States,TLH,KTLH,30.396528,-84.350333,81,-5,A,America/New_York,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,TLH,3698,TPA,3646,,0,SF3,3698,Tallahassee Rgnl,Tallahassee,United States,TLH,KTLH,30.396528,-84.350333,81,-5,A,America/New_York,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
3M,\N,TPA,3646,EYW,3875,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3875,Key West Intl,Key West,United States,EYW,KEYW,24.556111,-81.759556,3,-5,A,America/New_York
3M,\N,TPA,3646,FLL,3533,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,TPA,3646,GNV,3472,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3472,Gainesville Rgnl,Gainesville,United States,GNV,KGNV,29.690056,-82.271778,152,-5,A,America/New_York
3M,\N,TPA,3646,JAX,3712,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3712,Jacksonville Intl,Jacksonville,United States,JAX,KJAX,30.494056,-81.687861,30,-5,A,America/New_York
3M,\N,TPA,3646,PBI,3722,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3722,Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York
3M,\N,TPA,3646,PNS,3564,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3564,Pensacola Rgnl,Pensacola,United States,PNS,KPNS,30.473425,-87.186611,121,-6,A,America/Chicago
3M,\N,TPA,3646,TLH,3698,,0,SF3,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York,3698,Tallahassee Rgnl,Tallahassee,United States,TLH,KTLH,30.396528,-84.350333,81,-5,A,America/New_York
3M,\N,TUP,5773,ATL,3682,,0,SF3,5773,Tupelo Regional Airport,Tupelo,United States,TUP,KTUP,34.2681,-88.7699,346,-6,A,America/Chicago,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
4B,\N,LAS,3877,LAX,3484,,0,PL2,3877,Mc Carran Intl,Las Vegas,United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A,America/Los_Angeles,3484,Los Angeles Intl,Los Angeles,United States,LAX,KLAX,33.942536,-118.408075,126,-8,A,America/Los_Angeles
4B,\N,LAX,3484,LAS,3877,,0,PL2,3484,Los Angeles Intl,Los Angeles,United States,LAX,KLAX,33.942536,-118.408075,126,-8,A,America/Los_Angeles,3877,Mc Carran Intl,Las Vegas,United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A,America/Los_Angeles
4M,3201,DFW,3670,EZE,3988,Y,0,777,3670,Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,KDFW,32.896828,-97.037997,607,-6,A,America/Chicago,3988,Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,America/Cordoba
4M,3201,EZE,3988,DFW,3670,Y,0,777,3988,Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,America/Cordoba,3670,Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,KDFW,32.896828,-97.037997,607,-6,A,America/Chicago
4M,3201,EZE,3988,JFK,3797,Y,0,777,3988,Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,America/Cordoba,3797,John F Kennedy Intl,New York,United States,JFK,KJFK,40.639751,-73.778925,13,-5,A,America/New_York
4M,3201,EZE,3988,MIA,3576,,0,777 763,3988,Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,America/Cordoba,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York
4M,3201,JFK,3797,EZE,3988,Y,0,777,3797,John F Kennedy Intl,New York,United States,JFK,KJFK,40.639751,-73.778925,13,-5,A,America/New_York,3988,Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,America/Cordoba
4M,3201,MIA,3576,EZE,3988,,0,777 763,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York,3988,Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,America/Cordoba
4M,3201,MIA,3576,PUJ,1760,,0,763,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York,1760,Punta Cana Intl,Punta Cana,Dominican Republic,PUJ,MDPC,18.567367,-68.363431,47,-4,U,America/Santo_Domingo
4M,3201,PUJ,1760,MIA,3576,,0,763,1760,Punta Cana Intl,Punta Cana,Dominican Republic,PUJ,MDPC,18.567367,-68.363431,47,-4,U,America/Santo_Domingo,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York
4O,17885,GDL,1804,SAT,3621,,0,320,1804,Don Miguel Hidalgo Y Costilla Intl,Guadalajara,Mexico,GDL,MMGL,20.5218,-103.311167,5016,-6,S,America/Mexico_City,3621,San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6,A,America/Chicago
4O,17885,GDL,1804,SNA,3867,,0,320,1804,Don Miguel Hidalgo Y Costilla Intl,Guadalajara,Mexico,GDL,MMGL,20.5218,-103.311167,5016,-6,S,America/Mexico_City,3867,John Wayne Arpt Orange Co,Santa Ana,United States,SNA,KSNA,33.675667,-117.868222,56,-8,A,America/Los_Angeles
4O,17885,JFK,3797,MEX,1824,,0,320,3797,John F Kennedy Intl,New York,United States,JFK,KJFK,40.639751,-73.778925,13,-5,A,America/New_York,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City
4O,17885,LAS,3877,MTY,1825,,0,320,3877,Mc Carran Intl,Las Vegas,United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A,America/Los_Angeles,1825,General Mariano Escobedo Intl,Monterrey,Mexico,MTY,MMMY,25.778489,-100.106878,1278,-6,S,America/Mexico_City
4O,17885,LAS,3877,TLC,1850,,0,320,3877,Mc Carran Intl,Las Vegas,United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A,America/Los_Angeles,1850,Licenciado Adolfo Lopez Mateos Intl,Toluca,Mexico,TLC,MMTO,19.337072,-99.566008,8466,-6,S,America/Mexico_City
4O,17885,MEX,1824,JFK,3797,,0,320,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City,3797,John F Kennedy Intl,New York,United States,JFK,KJFK,40.639751,-73.778925,13,-5,A,America/New_York
4O,17885,MEX,1824,MIA,3576,,0,320,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York
4O,17885,MEX,1824,SAT,3621,,0,320,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City,3621,San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6,A,America/Chicago
4O,17885,MEX,1824,SNA,3867,,0,320,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City,3867,John Wayne Arpt Orange Co,Santa Ana,United States,SNA,KSNA,33.675667,-117.868222,56,-8,A,America/Los_Angeles
4O,17885,MIA,3576,MEX,1824,,0,320,3576,Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City
4O,17885,MTY,1825,LAS,3877,,0,320,1825,General Mariano Escobedo Intl,Monterrey,Mexico,MTY,MMMY,25.778489,-100.106878,1278,-6,S,America/Mexico_City,3877,Mc Carran Intl,Las Vegas,United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A,America/Los_Angeles
4O,17885,MTY,1825,SAT,3621,,0,320,1825,General Mariano Escobedo Intl,Monterrey,Mexico,MTY,MMMY,25.778489,-100.106878,1278,-6,S,America/Mexico_City,3621,San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6,A,America/Chicago
4O,17885,SAT,3621,GDL,1804,,0,320,3621,San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6,A,America/Chicago,1804,Don Miguel Hidalgo Y Costilla Intl,Guadalajara,Mexico,GDL,MMGL,20.5218,-103.311167,5016,-6,S,America/Mexico_City
4O,17885,SAT,3621,MEX,1824,,0,320,3621,San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6,A,America/Chicago,1824,Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S,America/Mexico_City
